title,year,rating,runtime,link,votes,genres
The Shawshank Redemption,1994,9.3,142,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1,,"Epic, Period Drama, Prison Drama"
The Godfather,1972,9.2,175,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2,,"Epic, Gangster, Tragedy"
The Dark Knight,2008,9.0,152,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3,,"Action Epic, Epic, Superhero"
The Godfather Part II,1974,9.0,202,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4,,"Epic, Gangster, Tragedy"
12 Angry Men,1957,9.0,96,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5,,"Legal Drama, Psychological Drama, Crime"
The Lord of the Rings: The Return of the King,2003,9.0,201,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_6,,"Action Epic, Adventure Epic, Epic"
Schindler's List,1993,9.0,195,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_7,,"Docudrama, Epic, Historical Epic"
Pulp Fiction,1994,8.9,154,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8,,"Dark Comedy, Drug Crime, Gangster"
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9,,"Action Epic, Adventure Epic, Dark Fantasy"
"The Good, the Bad and the Ugly",1966,8.8,178,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10,,"Adventure Epic, Dark Comedy, Desert Adventure"
Forrest Gump,1994,8.8,142,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11,,"Epic, Drama, Romance"
The Lord of the Rings: The Two Towers,2002,8.8,179,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_12,,"Action Epic, Adventure Epic, Dark Fantasy"
Fight Club,1999,8.8,139,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_13,,"Psychological Drama, Psychological Thriller, Workplace Drama"
Inception,2010,8.8,148,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14,,"Action Epic, Adventure Epic, Epic"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15,,"Action Epic, Adventure Epic, Dark Fantasy"
The Matrix,1999,8.7,136,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16,,"Action Epic, Artificial Intelligence, Cyberpunk"
Goodfellas,1990,8.7,145,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17,,"Docudrama, Gangster, True Crime"
One Flew Over the Cuckoo's Nest,1975,8.7,133,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_18,,"Medical Drama, Psychological Drama, Drama"
Interstellar,2014,8.7,169,https://www.imdb.com/title/tt0816692/?ref_=chttp_i_19,,"Adventure Epic, Epic, Quest"
Se7en,1995,8.6,127,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_20,,"Cop Drama, Hard-boiled Detective, Legal Drama"
It's a Wonderful Life,1946,8.6,130,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_21,,"Feel-Good Romance, Holiday Family, Holiday Romance"
The Silence of the Lambs,1991,8.6,118,https://www.imdb.com/title/tt0102926/?ref_=chttp_i_22,,"Police Procedural, Psychological Drama, Psychological Horror"
Seven Samurai,1954,8.6,207,https://www.imdb.com/title/tt0047478/?ref_=chttp_i_23,,"Action Epic, Epic, Period Drama"
Saving Private Ryan,1998,8.6,169,https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24,,"Epic, Period Drama, War Epic"
City of God,2002,8.6,130,https://www.imdb.com/title/tt0317248/?ref_=chttp_i_25,,"Caper, Coming-of-Age, Gangster"
